"","Conflict_Name","Conflict_Type","Region","Start_Year","End_Year","Status","Primary_Country","Pre_War_Unemployment_%","During_War_Unemployment_%","Unemployment_Spike_Percentage_Points","Most_Affected_Sector","Youth_Unemployment_Change_%","Pre_War_Poverty_Rate_%","During_War_Poverty_Rate_%","Extreme_Poverty_Rate_%","Food_Insecurity_Rate_%","Households_Fallen_Into_Poverty_Estimate","GDP_Change_%","Inflation_Rate_%","Currency_Devaluation_%","Cost_of_War_USD","Estimated_Reconstruction_Cost_USD","Informal_Economy_Size_Pre_War_%","Informal_Economy_Size_During_War_%","Black_Market_Activity_Level","Primary_Black_Market_Goods","Currency_Black_Market_Rate_Gap_%","War_Profiteering_Documented"
"1218","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",5.56,13.45,7.89,"Services",9.77,29.91,34.44,17.65,30.73,46013,-21.2,13.97,23.51,471307403736,1100981673172,34.53,68.84,"Moderate","food, medicine",399.64,"No"
"1219","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",6.13,10.65,4.52,"Energy",6.1,27.01,30.29,13.34,16.8,16820,-30.09,27.01,35.98,39911742925,137804838990,29.71,39.82,"Dominant","currency, fuel, weapons",7.7,"Yes"
"1220","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",5.8,9.29,3.49,"Services",3.9,11.18,14.18,6.51,10.9,652883,-5.29,59.25,58.67,157758066051,466424199984,18.04,49.09,"High","currency",13.54,"Yes"
"1221","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",13.49,35.14,21.65,"Tourism",26.88,19.93,41.46,13.67,21.71,225840,-43.96,32.04,39.5,441089155829,1121341877882,24.71,65.14,"Dominant","medicine",243.6,"Yes"
"1222","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",13.15,34.35,21.2,"Construction",30.02,9.93,24.81,10.63,13.08,816805,-9.81,62.87,106.52,1239711583,4733505848,31.38,48.3,"High","water, food, weapons",14.61,"Yes"
"1223","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",7.65,16.59,8.94,"Agriculture",11.42,19.83,27.44,11.72,15.3,4671,-36.83,106.33,155.84,154617825553,506754341201,28.15,36.16,"Moderate","medicine",18.15,"Yes"
"1224","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",12.63,26.98,14.35,"Energy",16.92,28.74,45.43,20.3,23.88,1201,-7.99,144.29,147.98,372628385428,620212738482,21.09,29.44,"Moderate","water, food",1.11,"Yes"
"1225","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",5.54,13.13,7.59,"Manufacturing",8.52,14.28,18.44,11.2,13,61302,-13.45,108.94,175.38,365978154234,992753402465,30.66,78.48,"High","fuel, currency, food",317.18,"Yes"
"1226","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",10.42,29.77,19.34,"Agriculture",25.62,11.32,23,9.81,19.15,742,-30.79,87.31,80.48,272380925289,1055264089049,11.31,19.86,"Low","weapons, water, food",5.78,"Yes"
"1227","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",4.76,9.47,4.71,"Tourism",5.46,24.25,27.69,13.25,24.08,86443,-19.31,97.23,98.82,333947365529,587848061597,37.68,57.28,"Dominant","weapons",160.09,"No"
"1228","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",7.35,12.92,5.58,"Tourism",7.26,24.69,28.39,9.49,19.87,23257,-72.73,58.07,92.45,277549730871,670514586744,29.48,80.57,"Dominant","currency, medicine, food",115.3,"No"
"1229","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",10.21,12.99,2.78,"Construction",3.37,19.23,21.51,13.4,12.13,41856,-42.69,153.3,303.79,416442665886,1141795365113,28.65,52.04,"High","currency, food",399.64,"Yes"
"1230","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",13.49,34.34,20.85,"Energy",24.15,21.3,39.71,15.78,28.77,4503,-5.39,58.51,49.11,281249601254,782316516489,28.93,39.16,"Low","medicine, water, fuel",9.37,"Yes"
"1231","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",8.72,11.33,2.6,"Services",3.04,22.36,24.55,8.06,18.6,19216,-27.05,54.7,103.33,25580531864,86237482300,10.41,28.36,"Dominant","water, currency",15.68,"Yes"
"1232","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",7.87,20.68,12.81,"Tourism",14.46,29.57,42.88,24.2,29.27,111487,-15.93,79.33,134.58,241851012249,658225023027,25.18,69.47,"Dominant","food, fuel",100.83,"Yes"
"1233","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Palestine (Gaza)",3.42,14.31,10.88,"Energy",15.51,26.66,34.53,16.71,17.75,1160,-63.11,110.26,206.91,165681758916,341254967887,17.55,42.69,"Moderate","weapons, water, fuel",14.52,"Yes"
"1234","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",5.11,14.55,9.44,"Services",10.8,26.67,34.98,11.04,23.99,70140,-27,51.37,95.79,423374163033,1384726515195,34.54,75.25,"Moderate","food, currency",337.58,"Yes"
"1235","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Palestine (Gaza)",5.37,10.27,4.9,"Construction",6.82,5.18,9.41,6.28,6.33,6083,-64.2,75.53,102.75,392603327011,1567321359958,10.59,20.04,"High","medicine",9.27,"No"
"1236","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",6.65,19.45,12.8,"Agriculture",14.14,23.18,34.85,21.28,25.45,62531,-18.32,101.09,182.25,35111810895,69294223459,14.73,23.1,"High","water, fuel",14.07,"No"
"1237","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Ukraine",4.19,12.15,7.96,"Construction",11.87,18.49,22.75,13.94,12.06,3450283,-17.58,99.47,122.77,157277801515,418980917383,16,34.09,"High","medicine, weapons, fuel",9.74,"No"
"1238","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",8.66,9.83,1.16,"Agriculture",1.32,20.2,20.94,12.1,17.05,80954,-39.74,52.74,99.34,220579363956,792661654743,24.88,34.63,"Dominant","food",2.96,"Yes"
"1239","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",13.68,62.01,48.34,"Tourism",54.52,7.97,34.24,18.13,22.41,19637,-64.68,40.34,66.34,1953581662,3984484225,34.58,47.39,"Dominant","water",12.35,"No"
"1240","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",10.59,40.61,30.02,"Energy",36.41,17.93,34.99,14.42,29.75,11057,-37.08,86.99,52.43,358450414509,1414010859043,37.2,58.48,"Low","medicine, currency",484.23,"Yes"
"1241","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",14.1,33.24,19.14,"Manufacturing",22.94,16.3,36.21,17.52,29.83,8248,-39.01,48.29,67.97,3995394524,15629912930,15.77,43.15,"Low","medicine, fuel",17.37,"Yes"
"1242","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Ukraine",12,21.87,9.87,"Agriculture",11.21,21.4,30.27,19.21,17.32,14108,-19.82,77.05,99.71,160318778888,488343861684,29.25,36.19,"Low","currency, fuel",2.85,"No"
"1243","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",12.88,25.47,12.6,"Energy",15.47,17.51,27.52,17.33,20.91,103,-8.53,70.55,131.79,64538237103,134395367929,21.41,37.11,"High","food, currency, water",19.82,"No"
"1244","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",9.58,21.92,12.34,"Agriculture",16.71,21.14,30.38,15.26,15.9,2176229,-38.5,65.18,64.59,202502696521,544136647690,13.87,22.63,"Low","fuel",1.26,"No"
"1245","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",12.47,23.27,10.79,"Energy",14.64,20.18,28.39,17.27,25.06,958,-15.26,74.75,58.7,205193798106,467360485662,38.63,59.61,"Moderate","weapons",68.75,"Yes"
"1246","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",4.38,7.61,3.23,"Agriculture",3.68,8.35,11.13,6.1,5.68,2817,-24.53,59.65,84.21,425983345697,1204320298898,15.74,23.32,"Low","medicine",8.89,"No"
"1247","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",12.64,35.38,22.75,"Construction",28.5,23.6,45.95,18.88,38.89,29803,-5.52,83.25,129.26,466414855928,1658635672471,16.01,27.64,"Low","weapons, currency, water",16.42,"Yes"
"1248","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",8.05,13.03,4.98,"Energy",6.04,27.21,31.15,11.49,21.15,190376,-45.68,12.51,7.55,296654078532,584731717461,37.15,90,"Dominant","food, medicine, fuel",439.55,"Yes"
"1249","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",6.18,11.58,5.41,"Services",7.29,14.9,18.95,6.5,17.03,188,-25.36,26.84,53.64,59466394428,143863770926,14.16,29.51,"Dominant","currency, weapons, fuel",11.72,"No"
"1250","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",12.5,28.11,15.61,"Services",22.37,24.33,33.21,14.3,22.19,14253,-15.82,85.73,102.64,215695745895,502442894814,21.45,36.93,"Low","medicine, water",16.55,"No"
"1251","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",10.85,31.26,20.41,"Construction",23.4,18.79,36.08,18.15,26.34,4637,-36.6,55.91,42.51,246867667973,452334321332,20.56,37.6,"Dominant","weapons",17.07,"No"
"1252","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",5.02,5.96,0.94,"Energy",1.11,24.47,25.35,9.88,20.2,1691,-11.36,113.92,223.15,75989502750,286216930705,20.23,39.43,"High","weapons, water",9.37,"Yes"
"1253","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",8.08,11.84,3.76,"Services",5.18,5.79,7.68,5.19,6.13,11969,-27.49,31.3,52,251359356633,754544511582,38.87,71.18,"High","food, fuel, medicine",302.5,"No"
"1254","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",9.08,24.23,15.15,"Agriculture",20.74,15.58,26.55,12.55,13.7,59627,-36.8,109.71,118.73,429610274303,1002803032759,21.03,53.58,"Low","currency",111.12,"No"
"1255","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",8.19,22.31,14.13,"Agriculture",18.53,23.21,37.13,21.75,27.27,31887,-17.68,64.34,103.62,261961876245,952464616349,23.01,63.11,"High","weapons, fuel, water",421.24,"Yes"
"1256","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",14.63,20.02,5.39,"Agriculture",7.58,12.38,18.22,10.1,13.48,150325,-9.8,96.11,152.29,380131983845,941762527597,16.59,29.81,"High","fuel, water",8.48,"No"
"1257","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",11.65,18.69,7.03,"Manufacturing",9.59,28.89,33.55,18.72,29.84,203452,-47.19,78.07,82.44,371235177383,1237912336312,15.12,28.67,"Low","water, food",10.22,"Yes"
"1258","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",10.55,27.34,16.79,"Services",25.03,28.65,48.51,26.01,26.26,118235,-11.49,99.71,186.78,4259910022,8474732032,29.31,66.29,"Dominant","fuel",107.98,"Yes"
"1259","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",7.99,16.59,8.6,"Manufacturing",10.27,19.28,24.16,10.19,15.28,36002,-25.4,28.52,43.11,118769417392,404257353761,34.99,55.33,"Low","weapons, currency, medicine",148.36,"Yes"
"1260","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",8.92,13.34,4.42,"Services",5.15,6.06,10,5.18,5.82,22869,-36.29,52.94,53.79,495245364501,1206249903753,32.82,66.14,"Moderate","currency",396.67,"Yes"
"1261","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",4.53,7.19,2.66,"Energy",3.31,6.8,9.15,3.52,6.97,686436,-37.81,81.81,122.01,336413498132,1011125827110,26.75,62.95,"Dominant","fuel, currency",46.08,"Yes"
"1262","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Palestine (Gaza)",9.73,55.65,45.91,"Construction",52.76,26.4,68,24.06,55.92,467,-64.67,84.42,88.73,489263888899,913392684067,10.98,20.24,"Low","currency, medicine",6.83,"No"
"1263","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",3.39,6.38,2.99,"Manufacturing",4.39,29.81,32.3,10.52,18.39,22218,-41.52,38.76,37.78,444672634074,1130066614274,14.77,31.03,"Moderate","currency",4.59,"No"
"1264","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",4.57,6.03,1.46,"Manufacturing",1.82,8.34,10.07,4.88,7.67,17460,-13.62,45.86,85.04,304659559890,873875675813,14.7,26.56,"Moderate","currency, medicine",9.57,"Yes"
"1265","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",14.57,48.47,33.91,"Services",42.25,22.79,42.59,24.61,22.94,3029196,-63.03,158.03,106.4,352631227711,669678971716,35,90,"Dominant","currency, food",49.45,"Yes"
"1266","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",9.43,16.34,6.91,"Services",9.1,20.33,25.23,16.96,18.8,46043,-75.68,18.85,9.86,221021330091,504096478312,38.31,51.33,"High","water",375.89,"Yes"
"1267","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",4.31,10.13,5.82,"Tourism",6.94,7.44,10.36,4.29,5.6,1831,-45.98,90.17,124.41,45070961919,118886297104,27.25,64.54,"Moderate","fuel",343.8,"Yes"
"1268","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Ukraine",11.29,14.32,3.03,"Tourism",4.19,29.46,33.01,15.46,20.92,3335,-35.19,14.89,16.94,352688072100,1040155278587,14.32,29.68,"Low","currency, water",3.65,"Yes"
"1269","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",11.61,51.93,40.32,"Services",60.33,29.19,59.53,30.11,47.68,176468,-9.14,95.04,123.42,448852666197,1633549359888,24.29,49.49,"Low","fuel, water",2.44,"No"
"1270","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Palestine (Gaza)",5.61,17.27,11.66,"Agriculture",16.32,14.47,22.35,11.57,16.18,39067,-69.68,88.37,145.05,435163612036,822934782761,11.58,17.88,"Low","fuel, weapons, food",16.32,"Yes"
"1271","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",7.06,13.81,6.75,"Manufacturing",8.36,15.75,22.59,14.57,19.57,1441,-37.96,92.64,74.86,228127650267,618734888462,35.07,61.87,"Moderate","water, medicine, weapons",216.92,"No"
"1272","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",8.68,13.64,4.96,"Tourism",6.45,23.9,29.42,15.22,25.09,1256566,-45.62,44.03,82.55,145758782430,563763385392,16.74,38.02,"Dominant","weapons, water",16.41,"No"
"1273","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",8.12,23.25,15.14,"Manufacturing",19.09,7.65,21.87,11.77,18.02,73045,-22.6,123.56,104.89,164992221323,457489730975,32.49,62.67,"Dominant","weapons",223.41,"Yes"
"1274","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",6.04,6.82,0.78,"Construction",1.14,5.33,5.86,3.07,3.32,55569,-41.14,49.74,25.37,78234816957,257773058506,39.83,90,"High","currency",468.59,"Yes"
"1275","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",3.67,4.92,1.25,"Agriculture",1.71,5.69,6.41,3.32,4.5,476,-42.66,91.37,48.18,360076216993,643888314934,36.83,85.87,"High","currency",459.59,"Yes"
"1276","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",12.51,31.44,18.93,"Services",21.14,10.37,22.14,6.9,18.11,90813,-15.91,72.13,132.98,410707846208,815398483004,14.56,17.74,"Dominant","food, currency, weapons",10.25,"No"
"1277","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",3.17,7.63,4.46,"Construction",6.05,29.57,32.33,11.73,21.59,26664,-24.57,50.11,75.04,452237017102,1147786399067,19.5,29.91,"Moderate","currency, medicine",12.92,"No"
"1278","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",4.65,5.44,0.79,"Tourism",0.94,29.97,30.76,19.73,26.24,67,-32.46,65.1,118.33,330802893295,1269119091239,38.7,55.73,"Moderate","fuel, weapons",472.76,"No"
"1279","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",12.71,30.21,17.5,"Agriculture",22.35,14.85,31.75,13.98,23.18,4759,-27.95,37.6,64.92,171324929213,373495649497,30.25,78.93,"Moderate","food",70.01,"No"
"1280","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",11.26,26.07,14.82,"Energy",21.76,16.32,24.74,8,16.06,42412,-34,96.03,121.44,448233548465,846723336378,17.68,33.04,"Moderate","medicine, food",16.45,"Yes"
"1281","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",7.34,18.22,10.89,"Construction",14.93,21.73,31.4,9.46,17.23,7391,-31.33,61.12,47.29,259998858416,971629866636,16.47,34.62,"Dominant","fuel, currency",12.33,"No"
"1282","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",8.73,13.14,4.41,"Construction",6.59,12.22,17.01,10.35,12.98,30215,-36.95,134.9,92.15,354040462480,1351100092636,35.79,90,"Dominant","currency",190.33,"No"
"1283","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",3.32,7.49,4.17,"Energy",4.85,13.61,17.71,9.25,13.16,537300,-23.78,61.71,117.42,436035681665,1043088461679,27.99,57.3,"High","fuel",405.82,"Yes"
"1284","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",5.85,13.29,7.44,"Agriculture",11.14,17.59,26.03,7.88,14.16,113294,-22.55,107.44,125.03,176647396086,704715105393,39.93,90,"Low","currency",411.77,"Yes"
"1285","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",11.39,33.09,21.7,"Services",31.15,24.68,45.1,29.82,23.64,152838,-42.75,52.54,54.89,150157831710,272242635458,23.29,33.76,"High","medicine, food, weapons",10.04,"No"
"1286","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",11,21.59,10.59,"Energy",15.74,13.3,25.93,11.23,18.46,135530,-10.71,6.33,3.26,199495254511,460786849333,27.1,70.42,"Low","water",15.7,"Yes"
"1287","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",13.52,26.17,12.65,"Tourism",17.23,28.52,42.14,22.86,37.12,138917,-45.17,56.41,85.24,323753494421,594428144752,39.12,90,"Dominant","food, currency, water",305.29,"Yes"
"1288","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",3.97,19.02,15.05,"Agriculture",16.76,8.61,24.6,9.23,14.46,15706,-43.24,54.39,71.21,112689553855,383396952169,30.69,77.76,"Low","currency, water, food",146.66,"Yes"
"1289","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",7.47,10.37,2.9,"Agriculture",4.19,19,21.58,14.33,12.29,570,-15.97,38.69,30.22,176377595131,415765790167,14.28,24.62,"Low","currency, food, medicine",14.05,"Yes"
"1290","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",13.37,34.05,20.68,"Services",23.98,16.2,34.16,21.79,18.37,34705,-37.99,31.1,46.3,421937712876,892595885149,31.66,56.28,"Moderate","currency, water",191.01,"No"
"1291","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",7.98,18.94,10.96,"Agriculture",14.5,26.23,37.72,15.95,21.49,35612,-39.26,102.7,197.22,273246847799,596303659045,25.05,61.13,"Dominant","weapons",179.1,"No"
"1292","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",8.24,28.68,20.45,"Tourism",29.29,18.46,36.21,14.95,21.45,8418,-40.08,14.42,21.55,324705942507,1083329406649,10.38,12.98,"High","water, fuel",14.2,"Yes"
"1293","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",4.16,6.44,2.28,"Construction",2.54,23.45,25.42,12,14.95,66282,-30.5,117.89,186.79,399886173486,1336248950319,17.1,34,"Low","food",10.78,"No"
"1294","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",11.22,30.87,19.65,"Agriculture",21.98,21.48,44.45,18.39,32.74,481553,-23.08,87.93,159.3,183651495603,373756446340,27.47,57.42,"Moderate","water, currency, fuel",226.68,"Yes"
"1295","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",14.38,30.27,15.89,"Agriculture",22.03,28.43,47,22.12,31.42,143488,-15.55,87.69,119.61,471772685173,1858340337940,37.53,90,"High","water",162.58,"Yes"
"1296","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",13.36,28.27,14.91,"Construction",18.8,8.56,16.72,10,8.76,14418,-26.8,82.36,162.57,291970462345,858787026781,26.79,76.04,"Low","water, currency",92.38,"No"
"1297","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",14.63,43.3,28.67,"Services",35.74,21.65,36,22.1,28.25,8136,-31.58,66.41,43.52,462458386139,1733582870166,20.71,47.81,"Dominant","weapons, fuel, currency",19.94,"No"
"1298","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",14.79,37.4,22.61,"Manufacturing",27.89,23.67,38.46,17.82,25.19,21169,-25.65,107.53,183.25,9737147841,34447008902,22.41,43.41,"High","weapons, water",2.46,"Yes"
"1299","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",13.12,22.78,9.66,"Manufacturing",11.63,12.09,17.56,9.36,12.2,147,-11.67,26.38,38.76,225378700001,376607818060,38.4,48.08,"High","food, fuel",7,"Yes"
"1300","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",6.61,21.42,14.81,"Tourism",21.85,14.63,29.37,17.55,23.02,93421,-40.28,32.43,22.71,21195309070,79040823811,13.89,18.93,"Dominant","food, currency",6.13,"Yes"
"1301","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",8.6,16.56,7.96,"Construction",9.83,16.05,24,9.42,14.08,1868,-32.75,45.41,40.15,123670612147,269406764374,28.32,41,"Moderate","water, weapons",18.54,"No"
"1302","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",14.53,24.38,9.85,"Energy",14.3,15.3,25.79,14.18,15.14,19475,-34.01,92.17,99.66,366808314364,949276391941,12.96,29.97,"High","currency, water",19.15,"Yes"
"1303","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",3.91,7.42,3.51,"Tourism",5.03,10.48,12.38,6.12,9.48,18937,-40.06,95.32,145.28,434395167294,1063169631835,17.71,28.34,"Low","water, fuel",12.26,"Yes"
"1304","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",11.12,13.37,2.25,"Services",3.18,22.57,24.29,8.48,19.79,3166,-20.22,29.52,58.41,142582075638,426642016601,10.63,23.85,"Moderate","water",10.81,"Yes"
